,Название,Описание,Цена,words
10,Велосипеды / Велосипеды / BMX / CODE BIKES / Велосипед CODE BIKES MeatGrinder Black 2018 (2) /~Велосипед CODE BIKES MeatGrinder Black 2018 (2),"Code Bikes MeatGrinder - это бюджетный байк начального уровня, предназначенный для катания в стиле стрит. Он идеально себя чувствует в парке, на лестничных пролетах, гранях, подкатах и перилах. BMX выполнен на основе высокпрочной рамы из Hi-Ten стали. Геометрия рамы: ростовка 20.77"", наклон рулевой трубы 75°, наклон подседельной трубы 69°, длина перьев 12.8"", стендовер 9"".  Рулевая, каретка и втулки собраны на закрытых промышленных подшипниках. На велосипед установлен надежный задний ободной тормоз. У MeatGrinder полностью съемные тормозные крепления.",27900,велосипед_NOUN
11,Велосипеды / Велосипеды / BMX / CODE BIKES / Велосипед CODE BIKES SmallGrinder Dark Grey 2018 (2) /~Велосипед CODE BIKES SmallGrinder Dark Grey 2018 (2),"Code SmallGrinder — младший брат MeatGrinder. Обладает всеми преимуществами старшего брата, но у него более короткая рама и руль немного ниже. В остальном это тот же доступный байк начального уровня, заточенный под стрит катание. В коплекте пеги, педали, имеется возможность быстро снять крепления тормоза.Рама, вилка и руль велосипеда сделаны из ""хайтен"" стали (Hi-Ten или Hi Tensile). Hi-Ten — конструкционные стали улучшенного качества. В мире BMX это бюджетный материал. Здорово снижает цену велосипеда по сравнению с хромомолибденом. Лестничные пролеты, грани, подкаты и перила - его родная стихия. Разумеется, ничто не мешает раздавать на нем в парке и на земляных трейлах.",27900,велосипед_NOUN
12,Велосипеды / Велосипеды / Горные / CUBE / Велосипед CUBE Access WS EAZ 27.5 Black Mint 2018 /~Велосипед CUBE Access WS EAZ 27.5 Black Mint 2018,"«Власть ничто без контроля». Cube приняли это близко к сердцу и оснастили Access EAZ мощными легко управляемыми гидравлическими дисковыми тормозами Tektro и легкосплавными покрышками Schwalbe Smart Sam. Вилка Suntour помогает сгладить ответные удары трассы, а 24 -х скоростная система скоростей Shimano поможет вам легко преодолеть любой подъем.",39500,"велосипед_NOUN,горный_ADJ"
13,Велосипеды / Велосипеды / Горные / CUBE / Велосипед CUBE Access WS EAZ 27.5 White/Green 2018 /~Велосипед CUBE Access WS EAZ 27.5 White/Green 2018,"«Власть ничто без контроля». Cube приняли это близко к сердцу и оснастили Access EAZ мощными легко управляемыми гидравлическими дисковыми тормозами Tektro и легкосплавными покрышками Schwalbe Smart Sam. Вилка Suntour помогает сгладить ответные удары трассы, а 24 -х скоростная система скоростей Shimano поможет вам легко преодолеть любой подъем.",39500,"велосипед_NOUN,горный_ADJ"
14,Велосипеды / Велосипеды / Горные / CUBE / Велосипед CUBE Aim Black Blue 2019 /~Велосипед CUBE Aim Black Blue 2019,"Приключения начинаются с велосипеда, на который вы можете положиться, - компаньона, который будет с вами переживать каждый камень или корень дерева. Cube собрали Aim 2019, используя весь опыт конструирования алюминиевых рам, чтобы создать велосипед с удобной ездой и интуитивно понятным, безопасным управлением.Cube усовершенствовали конструкцию рамы, чтобы подогнать конструкцию, сделать ее еще быстрее, легче, аккуратнее и безопаснее. Надежные компоненты включают вилку Suntour, мощные механические дисковые тормоза. В результате был создан велосипед, который вдохновит вас исследовать новые тропы.Ну и с полюбившейся системой Split Size, ркаждый подберет себе велосипед индивидуально под свой рост и вес.",36000,"велосипед_NOUN,горный_ADJ"
15,Велосипеды / Велосипеды / Горные / CUBE / Велосипед CUBE Aim Pro 27.5 Black Flashyellow 2019 /~Велосипед CUBE Aim Pro 27.5 Black Flashyellow 2019,"В стремлении найти идеальный горный байк Cube предлагает остановиться. Aim Pro - это доступный, способный велосипед, идеальный для того, чтобы стимулировать ваши бездорожные стремления.С помощью легкой, жесткой и проворной геометрии рамы с набором простых в использовании, но надежных компонентов, включая гидравлические дисковые тормоза Tektro и удобную вилку Suntour, Aim Pro идеальный выбор для повышения навыков катания в удовольствие.Пересмотренная система крепления стойки и брызговиков позволяет быстро, легко и невероятно аккуратно возвращаться в городской режим. И, конечно, Cube продолжили интегрировать систему Split size, чтобы каждый подобрал велосипед под себя.",38700,"велосипед_NOUN,горный_ADJ"
16,Велосипеды / Велосипеды / Горные / CUBE / Велосипед CUBE Aim Race Black/Red 2019 /~Велосипед CUBE Aim Race Black/Red 2019,"Когда ваши амбиции начнут выходить за пределы текущего положения дел, вам понадобится велосипед, который подходит для их реализации. Тут и пригодится Aim Race 2019 - надежный, хорошо оборудованный велосипед, который не подведет вас, даже когда ваши навыки и уверенность еще только ростут.С перепроектированными точками крепления конструкции рамы в 2019 год этот вел невероятно универсален и прост в настройке для обычного катания или плотного продолжительного тура по пересеченке. Удаленная блокировка вилки Suntour, мощные гидравлические дисковые тормоза Shimano, 24-ступенчатая ""коробка передач"". Aim Race начальной линейки велосипедов Cube наполнен таким же вниманием к деталям, что и на топовых велосипедах.",42300,"велосипед_NOUN,горный_ADJ"
17,Велосипеды / Велосипеды / Горные / CUBE / Велосипед CUBE Aim Race White/Blue 2019 /~Велосипед CUBE Aim Race White/Blue 2019,"Когда ваши амбиции начнут выходить за пределы текущего положения дел, вам понадобится велосипед, который подходит для их реализации. Тут и пригодится Aim Race 2019 - надежный, хорошо оборудованный велосипед, который не подведет вас, даже когда ваши навыки и уверенность еще только ростут.С перепроектированными точками крепления конструкции рамы в 2019 год этот вел невероятно универсален и прост в настройке для обычного катания или плотного продолжительного тура по пересеченке. Удаленная блокировка вилки Suntour, мощные гидравлические дисковые тормоза Shimano, 24-ступенчатая ""коробка передач"". Aim Race начальной линейки велосипедов Cube наполнен таким же вниманием к деталям, что и на топовых велосипедах.",42300,"велосипед_NOUN,горный_ADJ"
18,Велосипеды / Велосипеды / Городские / CUBE / Велосипед CUBE Elly Cruise Trapeze Red 2017 /~Велосипед CUBE Elly Cruise Trapeze Red 2017,"Классический женский велосипед Cube Elly Cruise Trapeze 2017, созданный для комфортного катания по городу и окрестностям. Cube Elly Cruise Trapeze 2017 способен подчеркнуть ваш уникальный стиль и неповторимый вкус. Рама имеет заниженную геометрию для большего комфорта при катании в длинных юбках и платьях.Амортизационная вилка смягчит все неровные участки дорожного полотна. Дополнительные аксессуары значительно упростят передвижение в темное время суток и мокрую погоду. Трансмиссия скромно спрятана в задней втулке Shimano Nexus и имеет 7 режимов переключения.",62800,"городской_ADJ,велосипед_NOUN"
19,Велосипеды / Велосипеды / BMX / KINK / Велосипед KINK Gap Chrome 2019 /~Велосипед KINK Gap Chrome 2019,"Kink Gap 2019 - это универсальная машина, которая справится с любыми сложностями. Благодаря современной геометрии рамы, вилке из смеси 4130 хрома Gap в самом хромовом цвете не останется незамеченным.Мало того, что BMX будет выглядеть как конфета, в нем еще заложены 9-дюймовые стержни Kink Grizzly CC, вилы Kink Stryker, ножка Kink Bold HRD, герметичная втулка кассеты Mission Engage и трехкомпонентные хромированные рукоятки Kink Ridge. Не следует упускать из виду добавление сиденья Pivotal и специальный подседел, чтобы настроить байк на идеальную совместимость.",37990,велосипед_NOUN
20,Велосипеды / Велосипеды / BMX / KINK / Велосипед KINK Launch Gloss Black Holo Confetti 2019 /~Велосипед KINK Launch Gloss Black Holo Confetti 2019,"2019 год продолжает наследие действительно замечательного велосипеда. Этот BMX по-прежнему является одной из лучших моделей на рынке по доступной цене из года в год.Launch с еще лучшими компонентами оснащен как герметичной встроенной гарнитурой, так и герметичным средним нижним кронштейном, что значительно повышает производительность и практически исключает необходимость обслуживания. В сочетании с вилкой Kink Stryker, 8,75-дюймовые прутки Kink Human CC и трубчатыми хромированными рукоятками Mission Triumph 3pc, этот BMX станет мечтой новичка.",28990,велосипед_NOUN
21,Велосипеды / Велосипеды / BMX / KINK / Велосипед KINK Liberty Matte Blue 2019 /~Велосипед KINK Liberty Matte Blue 2019,"Kink Liberty остается премиальным BMX байком, потому что дает райдеру полную свободу действий. Но и для тех, кто хочет ездить помедленнее, Liberty оснащен съемными тормозами Mission.Liberty 2019 не разочаровывает ни в своем дизайне, ни в компонентах. Имеет 100% хромированную конструкцию 4130 и герметичные подшипники. Текстурированный матовый цвет Blacksmith Blue сочетается с хромированными рукоятками и планками с черными аксессуарами. В дополнение к модели Liberty имеется масса замечательных компонентов: вилку Kink Trident с цельной трубкой рулевого управления, 9-дюймовые стержни Kink Eagle CC с 4 частями, шток Kink Bold HRD и трехкомпонентные хромированные кривошипы Kink Ridge. Все это сочетание делает из Kink Liberty настоящую машину для стрита.",43990,велосипед_NOUN
22,Велосипеды / Велосипеды / BMX / KINK / Велосипед KINK Whip Gloss Raspberry Red 2019 /~Велосипед KINK Whip Gloss Raspberry Red 2019,"Kink Whip 2019 это зверь на 100% хроме 4130 на руле, вилке и раме. К этой прочной конструкции установлены герметичные подшипники, гарнитура, нижний кронштейн, а также передняя и задняя втулки. С этой функциональностю в Whip заложили сочный Gloss Raspberry Red цвет, хромированные рукоятки и серебряные отличные трубы. Вилка Kink Stryker, 9-дюймовыми стержнями Kink Grizzly CC и трехкомпонентными хромированными кривошипами Kink Ridge, Whip оснащен всем, чтобы взрывать стрит и парк.В дополнение ко всем этим характеристикам имеются удобные бесфланцевые ручки Kink Ace, педали Kink Hemlock, а также центральное сиденье и стойка сиденья. Это отличный бэм за свои деньги.",39990,велосипед_NOUN
23,Велосипеды / Велосипеды / Туринги / KONA / Велосипед KONA Rove ST Gloss Racing Green Copper 2019 /~Велосипед KONA Rove ST Gloss Racing Green Copper 2019,"Универсальный гравийный велосипед Kona Rove ST (2019) на стальной Cr-Mo раме со стальной вилкой и широкими колесами. Предназначен для поездок по дорогам с покрытием и без покрытияДорожная геометрия рамы позволяет чувствовать комфорт и уверенность на любой местности. На раме и вилке предусмотрены крепления для крыльев и багажников.Дисковые механические тормоза RP Spyre C Flat Mount, тормозные роторы TRP 160 мм надежны в поездке и неприхотливы в обслуживании. Трансмиссия полупрофессионального уровня Sram Rival 1 1x11-speed предназначена для дальних поездок и переменного рельефа.",105500,"велосипед_NOUN,туринга_NOUN"
24,Велосипеды / Велосипеды / Туринги / KONA / Велосипед KONA Sutra Gloss Seafoam 2019 /~Велосипед KONA Sutra Gloss Seafoam 2019,"Kona Sutra - отличный выбор для фанатов туризма, байкпэкинга и для автономных гонок. Это универсальный и невероятно стильный велосипед, который готов к долгому путешествию. Надёжная стальная рама Kona Cromoly, седло Brooks, переключатели BarCon, трансмиссия Shimano Deore 3x9, обеспечивающая четкое переключение скоростей, покрышки Schwalbe Marathon Mondial 700x40.Kona Sutra - туринг, готовый к вашему самому большому приключению.",102400,"велосипед_NOUN,туринга_NOUN"
25,Велосипеды / Велосипеды / Шоссейные / LAPIERRE / Велосипед LAPIERRE Xelius EFI 100 MCP Black/White 2015 /~Велосипед LAPIERRE Xelius EFI 100 MCP Black/White 2015,"Конкуренты, поклонники исполнения качественных итальянских велосипедов Lapierre по достоинству оценят LAPIERRE Xelius EFI 100 MCP, выбранный федерацией FDJ. Этот шоссейный байк позволит вам раскрыть свой потенциал.Жесткий и реактивный, Xelius EFI предназначен для скоростных гонок и знает, как вывести лучшее в своем гонщике. С 5 моделями в серии, все из которых являются полезными компонентами, Xelius EFI является культовым объектом, отмеченным гонщиками по всему миру.",162000,"шоссейный_ADJ,велосипед_NOUN"
26,Велосипеды / Велосипеды / Горные / PRIDE / Велосипед PRIDE Rebel 9.3 Dark Blue 2018 /~Велосипед PRIDE Rebel 9.3 Dark Blue 2018,"Велосипед начально-профессионального уровня, собранный на облегченной гидроформированной алюминиевой раме. Компоненты любительского-среднего уровня для горных моделей велосипедов. Отличное сочетание цены и качества, хорошо подойдёт как для начинающего велосипедиста, так и для продвинутого. Передовой функционал, большая манёвренность, точность переключения передач компонентов Sram.Пружинно-маслянная амортизационная вилка RockShox с ходом в 100 мм, функцией блокировки вилки обеспечивает мягкую отработку неровностей.Надежные тормоза Sram наполнены жидкостью DOT4, они остановят велосипед даже в самых сложных условиях, вне зависимости от того, какая погода на улице — им не страшны грязь, снег, дождь.",47380,"велосипед_NOUN,горный_ADJ"
